;Regija;NazivRegije;SifraOpstine;NazivOpstineL;OrgOblik;NazivOrgOblik;BrojGazdinstavaSva;BrojGazdinstavaAktivna
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;10;Barajevo              ;1;Porodi?no poljoprivredno gazdinstvo;1257;1146
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;10;Barajevo              ;2;Preduze?a;6;6
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;10;Barajevo              ;3;Preduzetnici;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;10;Barajevo              ;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;10;Barajevo              ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;10;Barajevo              ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD;11;?ukarica;1;Porodi?no poljoprivredno gazdinstvo;1664;1584
GRAD BEOGRAD          ;1;GRAD BEOGRAD;11;?ukarica;2;Preduze?a;43;42
GRAD BEOGRAD          ;1;GRAD BEOGRAD;11;?ukarica;3;Preduzetnici;6;6
GRAD BEOGRAD          ;1;GRAD BEOGRAD;11;?ukarica;4;Zemljoradni?ke zadruge;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD;11;?ukarica;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD;11;?ukarica;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;12;Grocka                ;1;Porodi?no poljoprivredno gazdinstvo;2809;2696
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;12;Grocka                ;2;Preduze?a;17;15
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;12;Grocka                ;3;Preduzetnici;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;12;Grocka                ;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;12;Grocka                ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;1;1
